;;PROCESO GESTIÓN DEL TALENTO HUMANO;;;;;;;;;;;;;;"Código: FGN-AP01-F-182
 
 Versión: 01";;;;;;;;;
;;FORMATO SEGUIMIENTO MEDIDAS DE INTERVENCIÓN INSPECCIONES DE CONDICIONES DE SEGURIDAD;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
No.;FECHA SOLICITUD;REGIONAL;SECCIONAL;ÁREA O DEPENDENCIA;UBICACIÓN;PELIGRO / FACTOR DE RIESGO;NIVEL DE RIESGO;HALLAZGO;MEDIDA DE INTERVENCIÓN;RESPONSABLE;ESTADO;FECHA DE EJECUCIÓN;;;REGISTRAR EVIDENCIA;OBSERVACIONES;;;;;;;;;
1;2/5/2025;3 - NOROCCIDENTAL;Antioquia;Pasillo;Fiscalía El Peñol;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian grietas en la pared;Se sugiere realizar mantenimiento a las grietas de la pared.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
2;2/5/2025;3 - NOROCCIDENTAL;Antioquia;Ingreso a la sede.;Fiscalía El Peñol;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia cinta antideslizante despegada de la rampa de acceso para personas con movilidad reducida;Se sugiere instalación de la cinta antideslizante faltante.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
3;2/5/2025;3 - NOROCCIDENTAL;Antioquia;Archivo.;Fiscalía El Peñol;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia almacenamiento de cajas por encima de la última división de las estanterías.;"Se sugiere utilizar archivadores y estanterías disponibles para almacenar las cajas que se encuentran por encima del último nivel
de las estanterías.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
4;2/5/2025;3 - NOROCCIDENTAL;Antioquia;Puesto de trabajo e impresora.;Fiscalía El Peñol;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;Se evidencia cableado sin canalizar en los puestos de trabajo.;Se sugiere canalizar cableado;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
5;2/5/2025;3 - NOROCCIDENTAL;Antioquia;Espacio de almacenamiento.;Fiscalía El Peñol;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian insumos de aseo y cajas sin ordenar;"Se sugiere tramitar con el supervisor de contrato de aseo la sensibilización en orden y aseo a los colaboradores que prestan servicio en las sedes de
FGN.";Bienes y contratista de Aseo;;;;;;;;;;;;;;;
6;2/10/2025;3 - NOROCCIDENTAL;Antioquia;"Oficinas, pasillo y sala de recepción de usuarios.
Oficina asistente de fiscal";Fiscalía Guatapé;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencian grietas y humedades en las paredes.
Se evidencian orificios y partes del techo desprendidas.";"Se sugiere tramitar con el área de mantenimiento y administración de
Sedes el mantenimiento a las grietas, humedades, orificios y partes desprendidas";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
7;2/10/2025;3 - NOROCCIDENTAL;Antioquia;Sala de recepción de usuarios.;Fiscalía Guatapé;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia desnivel sin demarcar.;Se sugiere demarcar desnivel;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
